"id_prod";"id_fam";"clave";"codigo";"descr";"cant";"uni";"inner_";"master_";"pag_catl";"precio_list";"precio_promo";"tipo";"fecha_llega";"act";"registro";"condiciones";"img";"est"
"PRD0002003";"FAM0000001";"ST385826";"8582";"Pasador para puerta 75 mm deacero cromado";1493;"";"10";"60";"23";97.9;97.9;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002004";"FAM0000005";"SP359865";"5986";"Pijas  p/sanitario 2 pzas ";0;"";"12";"144";"142";21.3;21.3;"Ferretero";"3ra Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002005";"FAM0000001";"ST371454";"7145";"Pinza clásica de corte diagonal 7 , tarjeta";0;"";"6";"60";"54";131.3;131.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002006";"FAM0000001";"ST377043";"7704";"Pinza clásica de presión 7mordaza curva";8746;"";"6";"36";"56";152.1;152.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002007";"FAM0000001";"ST376848";"7684";"Pinza clásica de punta y corte6 , tarjeta";0;"";"6";"96";"54";95.8;95.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002008";"FAM0000001";"ST377012";"7701";"Pinza clásica pelacables 9blister";0;"";"6";"36";"56";135.4;135.4;"Ferretero";"2da Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002009";"FAM0000001";"ST373861";"7386";"Pinza pelacable automática Clásica";0;"";"0";"0";"56";391.7;391.7;"Ferretero";"2da Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002010";"FAM0000001";"ST376275";"7627";"Pinza profesional pelacablesautomática 8";3272;"";"0";"0";"56";410.4;410.4;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002011";"FAM0000001";"ST386526";"8652";"Pinzas clásicas juego de 3 pzade 8""";1616;"";"6";"18";"56";393.8;393.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002012";"FAM0000001";"ST381897";"8189";"Pinzas profesionales juego de4 pzas mango confort grip";1838;"";"0";"0";"56";573.8;573.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002013";"FAM0000001";"ST377210";"7721";"Pistola calafateadora c/cremallera";4550;"";"6";"36";"57";156.3;156.3;"Ferretero";"2da Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002014";"FAM0000001";"ST375049";"7504";"Pistola metálica tradicional 1función 4 1/2 , boq c/cuerda";529;"";"12";"48";"61";85.2;85.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002015";"FAM0000001";"ST387806";"8780";"Pistola para pintar de gravedad 30-50 PSI";1308;"";"1";"8";"57";510.4;510.4;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002016";"FAM0000001";"ST375025";"7502";"Pistola plástica 6 funciones ";0;"";"12";"48";"61";102.1;102.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002017";"FAM0000001";"ST373021";"7302";"Prensa de hierro nodular 1""para carpintería";70;"";"12";"144";"-";64.5;64.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002018";"FAM0000001";"ST373038";"7303";"Prensa de hierro nodular 2""para carpintería";0;"";"12";"72";"57";74.0;74.0;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002019";"FAM0000001";"ST373045";"7304";"Prensa de hierro nodular 3""para carpintería";0;"";"6";"0";"57";128.1;128.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002020";"FAM0000001";"ST373052";"7305";"Prensa de hierro nodular 4""para carpintería";0;"";"0";"0";"57";168.8;168.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002021";"FAM0000001";"ST373069";"7306";"Prensa de hierro nodular 5""para carpintería";0;"";"6";"30";"-";221.1;221.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002022";"FAM0000001";"ST373083";"7308";"Prensa de hierro nodular 8""para carpintería";0;"";"6";"0";"-";527.0;527.0;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002023";"FAM0000001";"ST389022";"8902";"Protector auditivo tapón cónico 28 dB";16157;"";"100";"2000";"67";13.5;13.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002024";"FAM0000001";"ST374707";"7470";"Puntas para desarmador phillips #1 de 2"" juego de 5 pzas";2091;"";"12";"96";"58";51.0;51.0;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002025";"FAM0000001";"ST388490";"8849";"Rastrillo jardinero 16 dientes ";20;"";"0";"3";"59";409.2;409.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002026";"FAM0000005";"SP384911";"8491";"Regadera ahorradora de agua 8l/min";4127;"";"6";"36";"138";112.5;112.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002027";"FAM0000005";"SP384904";"8490";"Regadera ahorradora de agua 9l/min, 3 funciones";4168;"";"6";"60";"138";207.5;207.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002028";"FAM0000001";"ST377395";"7739";"Remachadora clásica 10 ";2563;"";"0";"0";"59";222.9;222.9;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002029";"FAM0000001";"ST378521";"7852";"Seguetas p/caladora zanco  Tp/mad y plast, 8 dpp, jgo 5 pz";0;"";"10";"100";"68";60.4;60.4;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002030";"FAM0000001";"ST378569";"7856";"Seguetas p/caladora zanco  Up/mad y plast, 6 dpp, jgo 5 pz";410;"";"10";"100";"68";79.2;79.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002031";"FAM0000001";"ST374639";"7463";"Serrucho de poda tradicional 12""";1310;"";"6";"36";"68";208.3;208.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002032";"FAM0000001";"ST374059";"7405";"Serrucho para tablarroca ";2860;"";"1";"60";"68";208.3;208.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002033";"FAM0000001";"ST377166";"7716";"Sierra circular p/madera 40dientes,  7 1/4";853;"";"3";"12";"68";208.3;208.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002034";"FAM0000001";"ST374097";"7409";"Talacho pico cabeza 5lbs con mango";561;"";"1";"2";"75";614.6;614.6;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002035";"FAM0000001";"ST384812";"8481";"Talacho-hacha 5lbs con mango ";82;"";"0";"0";"75";614.6;614.6;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002036";"FAM0000001";"ST384836";"8483";"Talacho-pico 5 lbs ";227;"";"1";"6";"75";416.7;416.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002037";"FAM0000001";"ST378439";"7843";"Tenaza para carpintero 8' ";0;"";"6";"36";"70";195.8;195.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002038";"FAM0000001";"ST384515";"8451";"Tensores ajustables 32' verdejuego 2pz";0;"";"12";"96";"70";91.7;91.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002039";"FAM0000001";"ST384539";"8453";"Tensores ajustables 48'rojojuego 2pz";0;"";"12";"96";"70";112.5;112.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002040";"FAM0000001";"ST375513";"7551";"Tijera p/poda a una mano 7forjada c/cuchilla de paso";795;"";"6";"36";"71";215.6;215.6;"Ferretero";"2da Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002041";"FAM0000001";"ST375582";"7558";"Tijera p/poda a una mano 8de acero c/cuchilla de paso";715;"";"6";"36";"71";245.8;245.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002042";"FAM0000001";"ST387684";"8768";"Tijera para casa y oficina 7' ";0;"";"12";"96";"70";67.7;67.7;"Ferretero";"2da Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002043";"FAM0000001";"ST382139";"8213";"Tope para puerta tipo codo latón";2610;"";"6";"36";"23";87.5;87.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002044";"FAM0000005";"SP359155";"5915";"Tuerca izquierda 7/8"" ";0;"";"1";"144";"141";39.1;39.1;"Ferretero";"1ra Sem Abr";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002045";"FAM0000005";"SP385413";"8541";"Válvula de compuerta roscablede 1/2";1062;"";"0";"0";"141";154.7;154.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002046";"FAM0000005";"SP385437";"8543";"Válvula de esfera roscable de1/2";11490;"";"10";"100";"141";114.6;114.6;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002047";"FAM0000005";"SP385444";"8544";"Válvula de esfera roscable de3/4";0;"";"10";"100";"141";164.6;164.6;"Ferretero";"1ra Sem Abr";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002048";"FAM0000005";"SP385550";"8555";"Válvula de pie 3/4 (pichancha)c/rejilla de latón";779;"";"10";"100";"142";192.7;192.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002049";"FAM0000001";"ST374080";"7408";"Zapapico cabeza 5lbs con mango ";260;"";"1";"2";"75";614.6;614.6;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002050";"FAM0000001";"ST382894";"8289";"Llanta c/rin, camara y baleros para concha plastica";0;"";"0";"0";"19";599.0;599.0;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002051";"FAM0000002";"KR366658";"6665";"Desarmador phillips 3/16  x 4 mango transparente";2551;"";"6";"96";"28, 146";32.4;32.4;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002052";"FAM0000002";"KR369918";"6991";"Desarmador phillips 1/4  x 8 mango bimaterial";3453;"";"6";"36";"28, 146";54.3;54.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002053";"FAM0000002";"KR381774";"8177";"Escoba para jardin metálica curva 20 dientes";1923;"";"0";"0";"33, 146";160.4;160.4;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002054";"FAM0000002";"KR388148";"8814";"Brocha 2 1/2  mango plátisco  ";11073;"";"12";"360";"11, 144";21.3;21.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002055";"FAM0000002";"KR388186";"8818";"Brocha 6  mango plástico  ";13535;"";"6";"120";"11, 144";74.2;74.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002056";"FAM0000001";"ST369680";"6968";"Broca plana o de manita 1 1/2 acero alto carbono";389;"";"12";"72";"12";78.1;78.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002057";"FAM0000001";"ST371591";"7159";"Pinza clásica de electricista 8 , uso pesado, tarjeta";17713;"";"0";"0";"54";197.9;197.9;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002058";"FAM0000001";"ST372154";"7215";"Cortador para tubos de PVC has ta 1 5/8""";697;"";"6";"24";"25";250.0;250.0;"Ferretero";"4ta Sem Feb";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0002059";"FAM0000001";"ST373076";"7307";"Prensa de hierro nodular 6"" para carpintería";0;"";"6";"24";"-";285.7;285.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
